title,size,color,rating,review_text
Comfortable,9,"Taffy, Black",5.0,They are the most comfortable and warm short boot. They are fashionable. I have had numerous people comment on them asking where I got them. Very well made. Worth the money
This is a Christmas gift,7,"Taffy, Black",4.0,They look great. I hope they fit the person I'm giving them to.
My new favorite shoe,9.5,"Taffy, Black",5.0,"These shoes are awesome! I am a hair stylist and on the very first day I got them, I wore them ALL day and my feet didn't hurt at all. They are so comfortable and so cute."
Great Looking Boot,6.5,"Black, Grill",5.0,I bought these boots because they are waterproof. As soon as I put them on I knew they would be perfect. I bought a 1/2 size up. They are easy to get on and off. They are super comfortable. I am very pleased with my purchase.
Cute shoes wish I was younger,8.5,"White, Cyber Yellow",5.0,The fabric is nylon which is different then the other shoes. They were too bright white for me to pull off but cute. I wish I lived them. I bought another color.
True to size maybe a little to much tongue 👅,8,"Camel Brown, Black",4.0,"Comfortable. True to size. Great color goes great with leggings. The tonge gets a little bunched up when tying tight. Once worn more it’ll probably soften up and lay flatter.
If we ever get snow maybe I’ll get another color:)"
Christmas Gift,8.5,"Taffy, Black",5.0,The boots are a Christmas gift for my granddaughter! I’m sure she’ll love them!!
So comfortable!,7,"Sea Salt, Black",5.0,"This is my second pair of shoes from Sorel and I am obsessed! These are super comfy, so cute, and keep your feet warm and dry. Fit true to size."
In & Out Boot,10,"Dove, Sea Sprite",5.0,"Gift for my daughter. Going to give wsva Christmas gift. They run small. Usually wears size 9. Bought 9 1/2. Toe hit front of boot. Reordered size 10. They fit perfectly!
Bought for a teacher who travels between schools throughout the day and does not have the time or convenience to change boots/shoes at each school. These are perfect for outside and inside for Wisconsin winters."
So cute!,9,"Camel Brown, Black",5.0,These are adorable! I would go a half size up. I wear an 8.5 but ordered a 9 and they are great! Stylish and keep my feet dry/warm.
With winter boots always buy brand name,10,"Camel Brown, Black",5.0,"Everything about this waterproof boot is top notch. The style is trendy, the way it’s made, all pros."
Meoooww,NA,NA,5.0,"These are good looking boots, super comfortable, love the features (waterproof). My only downside is the stitching hits my right great toe bunion, which hurts, but isn’t the shoe’s fault."
"Comfortable, Cute and Warm",7,"Omega Taupe, Black",5.0,"I love these! I bought them for a trip to the mountains. They were warm, durable and the fact that they are waterproof was very helpful."
Great multi-purpose shoe. Love them!,7,"Camel Brown, Black",5.0,"This boot is a great cross over shoe. It works at the dog park and in the snow. It is stylish and comfortable yet keeps my feet war, and dry. In the often-crowded field of winter footwear, Sorel's Out 'N About III Classic Boot for women makes an indelible mark, blending quintessential craftsmanship with innovative design. Consider this the Tesla of winter boots, if you will—engineering and style coexisting in perfect harmony.
Ergonomically designed, the boot seems to whisper, ""Go ahead, conquer that mountain—or at least that snowy parking lot."" The archsupport could be likened to a business mentor: always there to guide you, adding confidence in each step. The traction is remarkable, an excellent safety feature that could be equated to a market risk assessment in its ability to mitigate slip-ups."
Perfect,8.5,"Stone Green, Black",5.0,"Cute dress up or dressed down. Super functional. I live in Wisconsin and wear them pretty much every day all fall, winter, and spring. They keep you warm and dry without overheating your feet."
Great boots!,8,"Dove, Sea Sprite",4.0,"Super comfy and cute! Love that I can slip them off and on. Warm enough when it's not crazy cold, otherwise I recommend wearing wool socks with these boots and then it's perfect!"
Love them,9.5,"Stone Green, Black",5.0,These boots are so comfortable and warm. I’m obsessed with them. Looking into another style already. Worth the penny.
Super cute!!,7.5,"Camel Brown, Black",5.0,"I love how cute these boots are! They don't have a ton of arch support or cushion but nothing that insoles can't fix. They aren't uncomfortable by any means. I have narrow high arched feet. I usually wear a 7.5 so I ordered a 7.5 and 8. The 8 fit better. The 7.5 wasn't super tight but too close to my great toe. I love these boots because they are so cute! I just got them today so, so far I recommend. If I experience any issues, I'll update my review."
"Super cute , size up 1/2",8,"Camel Brown, Black",5.0,I ended up sizing up a 1/2 size. Very comfortable
Easy to get on and off. Loo great. Comfortable and well built.,7,"Camel Brown, Black",4.0,Comfortable and easy to get on and off. Really pretty. Very well built.
Sorel brand fave,8.5,"Camel Brown, Black",5.0,Great weather proof boots that look really cute!
Must Buy!,10,"Taffy, Black",5.0,"So cute, stylish, and comfortable! They look great on and make my feet look smaller than they are. As with all of my Sorels, I suggest going a half size up."
Warm,7.5,"Omega Taupe, Black",5.0,"I got to do the try me with these shoes, they are absolutely perfect!!! The temperature where I live has been below 30 degrees and these shoes have kept my feet nice and warm and extremely comfortable!! I also walked through some snow and my feet reminds nice and dry."
Sorel’s,8.5,"Camel Brown, Black",5.0,Super cute and waterproof:) can’t wait for winter now.
"Love, love, love",7.5,"Omega Taupe, Black",5.0,I love these boots they’re waterproof. I get compliments on them all the time highly recommend.
So cute and comfortable!,9,"Taffy, Black",5.0,So cute and super comfortable! You can dress them up or down and they go with everything!
Great shoes!!,9,"Camel Brown, Black",5.0,"I waited a while to get these and now I don’t know why! I love them! Super comfy work well in all types of weather! Great fit as expected, great material! Would buy again."
Warm,9.5,"Stone Green, Black",5.0,Perfect fit and looks great
"Love the look of these boots, but sole separated",7.5,"Camel Brown, Black",4.0,"These were some of my favorite boots; the style and fit are superb! Unfortunately, the rubber soles started to peel away from the boot in the back of both."
Price is for the look and name brand,10,"Camel Brown, Black",3.0,"I tried these shoes on in a store where I decided that they were roomy enough to go down a half size. After I received mine from this listing, I was surprised they were too small. I'm also a little annoyed that the tongue of the shoe is a bit small. They don't lay flat, and is shorter than the top of the shoe. I definitely recommend insoles as well."
water proof,7.5,"Vintage Pink, Gum 16",5.0,"I like walking during the rainy day but my feet always got wet. As soon as I got these shoese, I tried to walk my neighbor but I didn't get wet at all. They are a little bit heavier than I thought but still good."
Awesome Boots!,7.5,"Camel Brown, Black",5.0,I love these boots! I wore them to an outdoor event over the weekend and it was rainy. These boots don’t even look like I wore them. Amazing!
Love these!,NA,NA,5.0,Warm and Cozy.
Sizing is weird,8.5,"Camel Brown, Black",5.0,I order an 8.5 (normal size) but they felt a little small so I ordered a 9 and they are way to big. However that are so freaking cute!
"Run small, otherwise love",NA,NA,4.0,"Normally wear 9.5 or 10. I’ve tried these in 10 and 10.5, should have ordered 11.
Otherwise very comfortable, love the style."
Hard boots and fit is not right,5.5,"Omega Taupe, Black",3.0,"The sole is nice and thick, but it doesn’t fit me as well as I was hoping. Despite how the shoes appear, they actually don’t bend much at all. These are hard boots. Also, the toe is upturned too much. Maybe it’d fit better if I had a half size larger."
Runs small,8,"Camel Brown, Black",3.0,ORDER UP A FULL SIZE. Not true to size. I wear a 7.5 and ordered up a half size (8) to accommodate thick socks. These fit like a 7.
Cute but…,8,"Camel Brown, Black",3.0,"I think these boots are so cute! Once they arrived, I was pretty disappointed with the comfort they DONT provide. They feel stiff, they dont offer support and there is very little cushioning in the insole. That said, if you are looking for boots to wear casually and not for a lot of walking they are very cute. For short distances, they are fine, I just wouldn’t want to be stuck in these if I had a big walk ahead of me!"
Comfortable,8,"Canoe, Light Bisque",5.0,Love these. True to size and comfortable
Mostly alright,9.5,"Camel Brown, Black",3.0,"Runs small, a little narrow in the toe box."
AMAZING!!!,8.5,"Camel Brown, Black",5.0,"I actually bought these shoes because I was going on a cruise to Alaska and had planned on doing a lot of walking. THEY ARE TRULY AMAZING! They saw all of Skagway, all of Juneau, all of Icy Straight Point and I had no issues whatsoever. They are super cute and very stylish."
Comfy & Cute,NA,NA,5.0,Love these waterproof boots that are so comfy and cute! Lots of warmth.
Well made! Comfortable,9,"Taffy, Black",5.0,These are very durable!
Runs short,9.5,"Omega Taupe, Black",3.0,"Love these boots, but they run short. Ordered my regular size but my toe hits the front of the boot. Returning and ordering the next size up"
"Cute, but not comfortable",12,"Taffy, Black",3.0,"These are a cute style. Make your feet look small. The toes are very stiff. Not very comfortable. Slip on, and feel loose… no padding. I took the advice of other reviews and sized up, but I would not recommend. True to size."
Not the same,10.5,"Black, Grill",3.0,These fit however there’s not much cushioning on the bottom and the sides of the boot rub against my inner ankle. These two things combined only makes these ideal for running quick errands.
Little super boots,7.5,"Camel Brown, Black",5.0,"First off I love Sorel boots generally… I have their original Joan of Arcs and two pairs of their suede ankle boots. I bought these for a trip I’m taking in spring to Japan where there will be snow/ lots of walking. In an effort to break them in I took them on a ski trip to Mammoth and figured they’d keep me warm in the car bc I’m always cold.
They are sooo warm and soo lightweight… like running shoes light weight. They do run a tad small so I went up a half size. I suggest wearing with socks that cover your ankle as they can rub a bit like high tops. As for waterproof… they are AMAZING. I literally got out of the car in slushy snow that went nearly to the top… no water went inside and the inside stayed really dry. The outside dries relatively fast and they don’t show dirt easily/clean up easily. They have a nice removable/washable sole. You can lace them tight or loose if you want more of an Ugg boot pull on/off feel. They are super walkable. I only gave 4 stars for support because they are not as supportive as other boots."
too small! size up!!,7,"Omega Taupe, Black",3.0,"I'm going to have go return these, my toes are scrunched at the top. I'm a true 7 with narrow feet, and would probabley need an 8 in these. the reviews on comfort were 50/50, seems like they might be pretty comfortable if I got a pair that fit. I don't know yet if I will trade or just return. They are cute though!"
Run small,8.5,"Dove, Sea Sprite",4.0,The shape of the toe box kind of smashed my toes. I exchanged for a larger size than normal and they fit better.
Lovely,9,"Camel Brown, Black",5.0,"Fit great, good traction"
Comfortable and Stylish,9,"Taffy, Black",4.0,"I bought this boot because I love the style and am a fan of the brand. While comfortable, it does not seem like the type of boot you want to go hiking in as the sole doesn’t have enough traction."
"So cute, but so not comfy",8,"Camel Brown, Black",3.0,"I love these boots so much for the look and style, but if you're looking for comfort I don't recommend buying these. The tongue is rigid and stiff which pokes into my foot, even with thick wool socks on. Bummer!"
Wearing out after 1 year,7.5,"Black, Grill",4.0,"I bought these boots January 2022 & I'm looking to replace them by January 2023. Let me start by saying I do like these boots.

But the seam is splitting on the top at the rubber/leather seam. Some of the rubber is cracking as well. I've worn them for winter weather walking in the city through snow and rain.

YES they keep my feet dry, but not warm and if tied too tightly the top of my foot has bruised.
I do like the style and I think they would keep well if you don't plan to do a lot of walking but want dry feet and a stylish boot."
Awesome sneakers,6.5,"White, Cyber Yellow",5.0,Super comfortable great quality. I ordered half size up and fits perfectly
It's a good winter boot and spring because they are water proof!,9.5,"Camel Brown, Black",4.0,"They are comfortable. They do run small like some other people were saying in the reviews. I had to exchange them for a 1/# size bigger and really should have did a whole size up because I wear thick wool socks. I also did have an issue with 1 tongue on my left boot. It started coming apart at the right corner by the lace hole. I have to push it down so it comfortable when I pull the strings tight to tie my shoe,not that big of a deal but for the price that shouldn't happen. They are waterproof,me and my dogs walked in the rain,snow an spasmed on my cars! My feet stay warm mostly if the temp is about 25° and up with sun even with wool socks,not too bad! I am starting,after a lil over 3 mths of wearing and having them that water is getting in to my boots somehow at the bottom or sides of them,feet getting wet,not cool! Warranty just bite the dust Jan 31 so I gotta eat the price and have wet feet. It was good while it lasted! Would recommend!"
"Super cute, not super comfortable",8.5,"Camel Brown, Black",3.0,"Love the look of them, but they weren’t very comfortable (especially around the ankle)."
Great throw on boot for running around,8.5,"Omega Taupe, Black",4.0,These boots come just above the ankle. They are waterproof so no rain spots. They are comfortable. While there is no fluffiness inside the boot there is thin fabric and it does keep your feet warm. I have worn them in spring and cold weather and with warm socks in the winter they keep your feet toasty. These are good for rain days for sure or just to throw on and run around in on average day. I have not worn them in snow yet but have in cold weather. I walked a few miles at a time in them with no discomfort at all. The sole keeps a nice distant between you and the cement so you can’t feel the cold of the cement. Great product. I took one star off because mine had a small stain on it right out of the box. My photos are after wearing the boots several times. I wear a size 8 and got an 8.5 because I wanted room for thicker socks. They are perfect however I believe an 8 may have worked as well but am happy with my 8.5. If I bought again I’d stick with the 8.5. Hope this helps.
Great boots,9,"Omega Taupe, Black",5.0,"Really nice winter boots, stylish and comfortable"
great for when it rains,9.5,"Omega Taupe, Black",4.0,"I needed a replacement because the rubber stripe that goes around the bottom edge was
separating AND water was starting leaking in. I have the other boots ready to return."
no support but cute,7.5,"Camel Brown, Black",4.0,"update - 3 months in and these are tearing apart at the sole! for the price, i definitely expected better quality. i rarely wear these more than to and from work (change shoes once i get there) so for them to be doing this already is nuts.

had to go up half a size and there is zero support in these. I'll have to get some insoles for them. I walked a lot in them the past couple days and it was not comfortable."
"Love the style, not as comfortable as I’d hoped.",9,"Camel Brown, Black",4.0,This boot was meant to go with me to Switzerland to walk around the cities and get me up the Alps. I was looking for a sneaker like boot. Something stylish and comfortable. While cute this wasn’t very comfortable or provide much support. It will be left home but I will wear on rainy or snowy day here.
Cute But Not Comfortable,9,"Taffy, Black",2.0,"Very cute boots, seem to repel water from the small amount of rain they were worn it but were VERY uncomfortable. Very flat boot, little support, little cushioning, foot slides forward every so slightly causing toes to be pressed together and hurt. Even tried pulling their insole and using a Dr Scholls to add more support and padding and they still were not comfortable in the toe box. Also tried sizing down a half size from my regular Sorel size and still a no go. Disappointing coming from this brand. I got the regular shoe version as well and same thing. So both will now be a maybe wear to the office on a wet/snowy day, something where I am not moving around at all. Not ideal for the cost. These could be amazing if they'd put some effort into comfort and support as well as aesthetics."
There’s something wrong with the tongue of the shoe,8.5,"Camel Brown, Black",2.0,"I’m not the first reviewer to say this. I love these shoes - they are stinking cute but the lining of the suede tongue sticks out around the laces and you. Ant tuck it back in - it’s almost like it isn’t wide enough or something. Unless Amazon shipped me the defective one that other reviewers mention, I’d pass on this."
Comfortable but…,10.5,"Omega Taupe, Black",4.0,These boots fit better than most other Sorels I have tried. They are comfortable and warm. The only negative thing I can say about them is where the tongue is stitched to the shoe the seam is a bit bulky and does rub on the top of my foot. I did find that with a little adjustment when putting it on it can avoided
Good but not perfect,9.5,"Camel Brown, Black",4.0,The boots are waterproof which is great but they run a little small and cause a little irritation on the heels. They may just need to be broken in.
The tongue is funny,9,"Dove, Sea Sprite",4.0,Super cute! Took me a while to get them laced the way I wanted so that I could just pull them on. The area where the tongue attaches seems to be poorly designed or maybe it’s just my pair. The gray fabric part takes on a blue tint when outdoors. They are so lightweight and roomy without being floppy or rubbing my heels or ankles.
Daughter Loves this Gift,7.5,"Dove, Sea Sprite",5.0,And she can't wait to wear them on the mother/daughters trip to Ireland
Very uncomfortable!,11,"Camel Brown, Black",3.0,"These were referred to me by a friend who has a slightly older version and they are horrible! Like someone else mentioned the tongue does not sit right and rubs against the top of your foot. For this much money why are these not a dream? The style is beautiful and they are so nice to look at, but for this much money they better be comfortable! How disappointing. This is my 3rd pair of Sorel I returned in a week. I bought Eddie Bauers instead and they were like wearing a cloud. So much cheaper and SO much more comfortable! Also, I typically wear an 11 in boots, but these were really big. I could've sized down at least a 1/2 size, possibly more. My regular shoe size is a 10 though."
Awesome boot,9,"Camel Brown, Black",5.0,"I love these! I had waiting quite some time to buy them, as they are expensive, but now I am so glad that I did. They are waterproof and keep my feet warm. They are cute too. I mainly use them while hiking or walking my dogs where sometimes I have to walk through mud, puddles, or wet grass. I recently went to Oregon and used them on the beach, and they were great for that too on a cool rainy day. I have not used them in the snow, but I think that for short treks in snow, they would be good enough. Update: I've had these boots just a bit over a year and they are holding up well. I have worn them often and have not regretted my purchase a bit. An added benefit is that they do keep my feet warm, as well as dry, on my early morning walks."
I expected more,8,"Camel Brown, Black",3.0,"I had high hopes for these since they are Sorel's and cost more than other comparable boots. I received them the day before we received 9"" of snow. I usually wear a 7 1/2 in shoes so ordered the 8 since most of the reviews stated they ran small. They were too big even with thick socks. I pulled a set of insoles out of an old pair of tennis shoes and that helped. It also added some cushion since the insoles that came with the boots had ZERO. There is also no insulation so my feet got cold in the snow. I don't think they're rated as ""winter boots"" so I didn't mark them down on that. The reviews about the extra material on the tongue pressing into the top of the foot were spot on. It is uncomfortable but am hopeful it softens up after more wear. I might just cut that little triangle of material out. I was also disappointed there was no cushioning around the ankle. Since we were getting all the snow and I had no other alternative to wear to walk the dog, I kept them. They are waterproof so that is good. If we weren't going to have the snow, I would've returned them. They will work for what I want them for (walking the dog in the rain) but was hoping for something better for the brand name and price."
Nice boots!,8.5,"Taffy, Black",5.0,"I got the 9 as 8 1/2 seemed just a bit small. So comfortable, wore them on a little 5 mile walk/hike right away and they were great. I love them and wear them all the time. I would but again and highly recommend."
Super cute!,9,"Camel Brown, Black",4.0,"I debated for the longest time whether or not to get 8.5 or 9 being I’m in between the two. I went off reviews and ordered bigger and got the 9... I’ll be returning for the 8.5. Hoping they break in good, they feel pretty rigid right now. Overall though, super cute & can’t wait to wear them!"
So uncomfortable,8.5,"Camel Brown, Black",2.0,"I’m usually a Sorel fan and these are super cute but really uncomfortable which was surprising. The tongue is too short so the laces are up against your ankle and the tops are stiff, which I didn’t expect. Because of the short tongue, I don’t see how your foot would stay dry or warm. I’ll use these for short walks with the dog around the neighborhood, no long walks, no hikes."
A nice slip-on everyday winter boot,9,"Omega Taupe, Black",4.0,I really like the way these look! I do have to wear thicker socks for them to feel really comfortable. I’ve got them tied perfectly so I just slip them on and off. Good in the snow and rain. I’m happy with my purchase and would definitely recommend.
Perfect,11,"Dove, Sea Sprite",5.0,Nice to find a winter boot that looks good
Love em,10.5,"Taffy, Black",4.0,Love these boots. I got them after a pair of Bearpaws broke down in less than a month and am so happy I decided to splurge on these 🙌 love em
Comfortable and Stylish,10,"Omega Taupe, Black",4.0,"I ordered these for our trip to Ireland since it’s known to rain a bit. I needed shoes that were waterproof, comfortable for hiking, and stylish. I give them the higher rating for stylish and waterproof but I’m not sure how they will be on the long treks. While comfy they don’t seem to have great arch support. Four out of five on comfort. I did order a size up based on reviews and they fit perfectly."
Go Up ½-1 Size,NA,NA,5.0,"I just got them today, but even without socks they seem quite small to previous Sorels. For context I'm a US 9, but I've taken to buying US 9.5 so I don't have to break in shoes. Sorel's I've always had to go up half a size, but I took one look at the rubber and decided to go for a US 10 (which happens a lot on boots for me, so still a norm) and I'm glad I did! I'll try to update my review, but on cursory glance, best go up ½ or 1 size.

Update 1 Sep 2022: I would definitely start a full size up on these shoes. During winter with thick socks these feel small if I'm on my feet all day. They've held up well & for Seattle they're a great shoe for daily wear (with insoles), but because of the rubber, you can't break them in ever. It's good. They do exactly what they're supposed to do, get them!"
Not comfortable,9,"Stone Green, Black",2.0,"I know lots of people love these boots. I did not find them comfortable. They hurt my feet after wearing them for a day. Also, they run small. I would size up one size."
Style is so cute! Glad I went a half size up! Came with a couple marks.,7,"Camel Brown, Black",4.0,I love the look of these! I tried them on with thick fuzzy socks and fit just right! The only thing I would say is for the money spent they should come without what looks like a white paint drop on one of the toes. And has a weird small “stain” on the front of the tan fabric. Other than that I love them!
Very comfortable and warm,7.5,"Camel Brown, Black",5.0,"Love love love these shoes. Purchased to have warm and waterproof boots practical enough for daily wear if needed. These are perfect!! These shoes are very comfortable, easy to get on, cute, keep my feet warm and dry. True to size. I typically wear 7.5 or 8. I purchased a 7.5 and they fit great even with a thicker sock. I will be ordering other colors!"
My new favorite boots!,8.5,"Taffy, Black",5.0,"I’ve lived my whole life in So Cal and never put much thought into buying waterproof boots, let alone ones that I can walk in all day.

Well I saw these in real life and thought they were really cute and decided to look them up. After being talked out of buying several pair I settled on the tan and black ones. It ended up raining a few days after I bought these so I saw that as the perfect opportunity to take these on a test drive.

After about a full day of wear I love that they have a little bit of a heel (not much), they are beyond comfortable to walk around in, and they are very much waterproof. I’m a women’s 8.5 and I can wear medium to thick socks and they still feel comfortable."
Quality. Style. Comfort.,NA,NA,3.0,The pull on tab is broken.
Best waterproof boots!,7,"Camel Brown, Black",5.0,"The boots are extremely comfortable. I use a hard plastic insole inside for arch support but even without the insoles, the boots are still very comfortable. I was skeptical about the felt fabric being waterproof but I was quickly proven wrong. The whole shoe is waterproof and help up great so far in pouring rain. The colors are beautiful and compliment each other well. These boots go with practically everything. They are much lighter than my other waterproof hiking boots by LA Sportiva. I bought a size 7 and normally wear a size 7 shoe and it fits true to size. I have a little room for thicker socks but they are just as comfortable with thin socks too. Great shoe and I would definitely recommend! Shipping was also faster than anticipated."
Great boot,9,"Dove, Sea Sprite",5.0,"I really like these and that they are waterproof. They are comfortable but not a ton of support- I considered getting an insole. I live in a mild climate where its cool and rainy in winter so they are plenty warm for me. I did read a few reviews saying to size up. I normally wear an 8.5 and I bought a 9, and I think an 8.5 would've been better, but I didn't want to mess with a return/exchange. They work but there's more wiggle room than I really need."
Uncomfortable and unsupportive,8.5,"Camel Brown, Black",2.0,Super cute just like the pictures! However the tongue of the shoes was sewn twisted on both shoes and they were very uncomfortable. It felt like it tilted my foot strangely to the side and was too wide with no arch support. Returned.
Good Buy!,8,"Camel Brown, Black",5.0,LOVE the look of these boots! I have a wider foot but my normal size fit Great! They are warm on a cold Midwest day with my wool socks. I will have to wait to see how well they hold up during my upcoming Alaska trip! I bought 2 pair to see which color I liked best- now I want BOTH pairs!!!!
"Large, slips off easy",9,"Camel Brown, Black",3.0,"It is taking me a long time to get used to these, I want to love them because they are so darn cute. They fit very wide and large, if you don’t wear thick socks they tend to slip as you walk. They’re not super comfortable either.."
Soles separated,7,"Dove, Sea Sprite",2.0,I only wore a few times and the soles started to separate already.
Little slim for wide feet. Very warm!,8.5,"Camel Brown, Black",5.0,"Wore them to a trip to New York City over Christmas. Miles of walking each day and the only complaint I have is that if I wore two layers of socks, then one shoe fell a little snuggle for my pinky toe. They actually were warm enough to only wear one layer of thick socks. It rained almost the whole time and I never felt wet at all! I truly love these!"
Comfy & cute,8,"Camel Brown, Black",5.0,I bought these boots for an upcoming mountain trip and I’m in love with them!!! So cute and very comfortable and waterproof!
Mostly do the job,5.5,"Stone Green, Black",3.0,"I’d size up as they run tight. They do the job because they work as a waterproof winter boot in the snow without being bulky. I like the look too. However, they’re not the most comfortable boot. I replaced the inserts with some that provided some arch support and that’s helped a bit."
Sorel boots,9,"Camel Brown, Black",3.0,"The quality is excellent. I think I should’ve went up a half size. Sometimes my feet swell. But, they are nice."
Runs small,11,"Camel Brown, Black",5.0,Luv luv BUT runs small. I bought my size 11 but needed the 12. Maybe that is why they make a size 12 because they know the 11 is not long enough.
Boot size,NA,NA,2.0,The boots I ordered ran very small. I could barely get my feet into them.
Not very comfortable or warm,6,"Omega Taupe, Black",2.0,They don't make them like they used to. Very little insulation and not very comfortable. They look good but that's all. Very disappointed.
Disappointed,9,"Camel Brown, Black",2.0,I've only had mine for about 60 days and the rubber sole is separating
Very uncomfortable,10.5,"Camel Brown, Black",1.0,Product looked worn and creases thruout the boot tounge. Looked very defective. Sending back.
Fell apart after 15 wears,7,"Taffy, Black",1.0,Paid $200....falling apart after about 15 wears
Sole is detaching after 4 wears.,NA,NA,1.0,"The bootie is so cute and comfortable! I got a lot of compliments the couple times I wore them out shopping. I’ve only worn them 4 times… the sole is detaching from the shoe. I don’t know if I got a bad pair or what, but these would never withstand doing real work. Reaching out to seller. If reimbursed or replaced with a shoe that doesn’t fall apart I’ll change my review. These shoes are too expensive to fall apart."
Run small,6,"Fawn, Sea Salt",2.0,I always wear a 6 and these wear about a 1/2 to whole size too small
Broken shoe lace strap,NA,NA,1.0,"I honestly loved these but after wearing them ONE time in non-rain/snow weather, the shoe lace strap broke off. So disappointed. Just returned."
Perfect for everyday wear,10,"Omega Taupe, Black",5.0,I love these boots. They are super comfortable so you can wear them all day. They’re lightweight like tennis shoes but will keep your feet warm. My feet always run cold and these are perfect for winter weather. True to size.
Uncomfortable and not durable,NA,NA,1.0,"I kept thinking that I could “break” them in and they wouldn’t hurt to walk or stand in, that never happened. Also…within 2 months time of limited wear, the sole started to peel away on the toe. These were too expensive for the product that I received."
Uncomfortable and not warm,7,"Camel Brown, Black",1.0,"I was so.bummed when I were these on a cold day to learn how uncomfortable and cold these were. The price is only for the logo, not quality craftsmanship."
Run a little small I'd size up 1/2 size,7,"Omega Taupe, Black",5.0,I'm so bummed I ordered 7 they are so cute but alittle small ..no 7.5 avaliable
Super uncomfortable!,NA,NA,1.0,"These boots are REALLY uncomfortable! No cushioning inside and super stiff. Hard to get off and on. Would NOT recommend, and now I’m stuck with them because the return window is really short"
Very uncomfortable to wear.,10,"Taffy, Black",1.0,These are not comfortable and hurt my feet. I was disappointed. This brand has always been comfortable.
Runs small,7.5,"Omega Taupe, Black",1.0,Too small
Terrible quality,9,"Black, Grill",1.0,I’ve only worn these about ten times since purchasing last spring. The rubber came away from the boot at the toes and let’s water in. I can’t believe how poor quality these were especially given the brand and price. They ran small which may have contributed but not so small my feet hurt. Can’t say if they are known offs or not. Return period is over and im max/sad
Not for daily wear,8.5,"Dove, Jet",3.0,I love my boots so much they are almost a daily wear for me. They are cute and comfortable. Im sad that about 9 months they started falling apart. For a pricy boot I didn't expect this. They are true Sorels and the rubber on my left to is peeling back. The seam by the insole on the right boot is also coming apart. I noticed recently that the rubber covering the toe is cracking. IF I get another pair they will not be daily wear… But that will be difficult for me.
